name	title	type	parent
_widget_1623374466832	合同其他信息	separator	
_widget_1561431499820	行业分类	combo	
_widget_1561431499871	地区	combo	
_widget_1561431499996	应用领域	combo	
_widget_1576116537439	应用物料	combo	
_widget_1579240052161	是否含智能化	radiogroup	
_widget_1582439670467	智能点	combocheck	
_widget_1563280700625	备注	textarea	
_widget_1561431501066	特别提醒	text	
_widget_1561511175252	附件（合同、协议）	upload	
_widget_1561511175264	图片（合同、协议）	image	
_widget_1573192575054	验收单	upload	
_widget_1627697874959	生产卡信息	linkquery	
_widget_1661242797021	日期时间	datetime	
_widget_1698917219543	选择服务费数据	linkfield	
_widget_1720749080105	变动查看	linkquery	
_widget_1752304126294	关联数据	lookup	
_widget_1759559814671	附件同步知识库时间	datetime	
_widget_1666331897364	合同回款信息	linkquery	
_widget_1596086134880	单位回款信息	linkquery	
_widget_1594173385303	开票信息查询	linkquery	
_widget_1667291302111	运费承担方	radiogroup	
_widget_1667286001079	合同约定地址	address	
_widget_1730100756545	发货地址	linkfield	
_widget_1667286001084	发货地址	address	
_widget_1667286001085	比对地址辅助	text	
_widget_1667291302128	发货地址（到区）（辅助）	text	
_widget_1667291302129	合同地址（到区）（辅助）	text	
_widget_1667291302115	地址不符时上传附件	subform	
_widget_1667291302117	图片	image	地址不符时上传附件
_widget_1667291302118	附件	upload	地址不符时上传附件
_widget_1594173385329	发货信息查询	linkquery	
_widget_1623889620353	运费登记表	linkquery	
_widget_1662088494543	发货状态	text	
_widget_1594173385664	最后发货日期（241012停用）	datetime	
_widget_1594173385703	发货总额（241012停用）	number	
_widget_1668417748847	验收方式	radiogroup	
_widget_1668417749220	验收所需资料	text	
_widget_1668417748935	验收资料上传	subform	
_widget_1668417748995	验收日期	datetime	验收资料上传
_widget_1668417748937	图片	image	验收资料上传
_widget_1668417748966	附件	upload	验收资料上传
_widget_1698823518549	行业分类-小萌	radiogroup	
_widget_1698908493692	成本-小萌231101	number	
_widget_1698908493693	运费-小萌231101	number	
_widget_1705729384963	地区-小萌240120	text	
_widget_1705729384962	省份-小萌240120	text	
_widget_1698908493694	服务费-小萌231101	number	
_widget_1616210898698	以下是辅助信息字段	separator	
_widget_1614213005939	单行文本（辅助）	text	
_widget_1609113829970	判断是否含新增（辅助）	text	
_widget_1670549305841	判断对方合同号是否含新增（辅助）	text	
_widget_1594185418743	合同总额（辅助）	number	
_widget_1670549305842	*限制同一对方合同号只能新增一次	text	
_widget_1610611018415	限制同一合同号只能新增一次	text	
_widget_1616999695532	下卡日期辅助（辅助）	number	
_widget_1729124887299	辅助是否含需要提醒（241017增，用于辅助筛选出需要提醒的数据，大于0则是含有需要提醒的数据）	text	
_widget_1631177786890	合同提交状态（辅助）	radiogroup	
creator	提交人	user	
createTime	提交时间	datetime	
updateTime	更新时间	datetime	
